nama_produk,harga_produk,penjual,kota_toko,banyak_terjual,rating_produk
Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,15000,Distributor Cuanki dan Seblak,Kab. Bekasi,750,4.9
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,44500,Beauty DELUXE,Jakarta Barat,70,4.9
Cipak Koceak Cirambay Cireng Seblak Basreng Bojot khas tasik camilan,10000,AMANA SNACK,Tangerang Selatan,100,4.7
"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",40000,Sajodo Snack & Food,Tasikmalaya,18,5.0
Krupuk seblak kencur 500gram,12000,Ummuchasna,Kab. Magelang,50,5.0
KERUPUK jablay bantet/SEBLAK MINI PEDAS 250gram,14000,ajs(ale jaya snack),Jakarta Utara,100,4.9
"seblak ceker 1 kg pedas daun jeruk, gurih,cemilan bikin nagih",35999,aghniya,Tangerang Selatan,70,5.0
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",76000,kylafood,Bandung,750,4.9
Kerupuk seblak beton as kering cikruh 1 kg bumbu organik pedas gurih,47500,kerudung bunga,Cimahi,30,4.9
seblak kerupuk jengkol pedas daun jeruk renyah,20250,basreng sultan bandung viral,Kab. Bandung,11,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,100,4.9
Yasnack Kerupuk Seblak Rafael Pedas Cikruh Gurih 500 gr,30000,YasnackID,Bandung,70,4.9
Agen Seblak Mommy,9999,Kenal Jaya Bandung,Bandung,4000,4.9
kerupuk seblak rafael 200gr,10999,Bunda Qiana Store,Bandung,60,4.8
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,24000,ajs(ale jaya snack),Jakarta Utara,60,5.0
kerupuk mawar putih mentah 250 gram/kerupuk seblak mawar,5950,Aris lampu,Kab. Sidoarjo,10,5.0
Kerupuk Seblak Rafael 1 Bal 2Kg,82999,Bunda Qiana Store,Bandung,8,5.0
seblak as beton kerupuk pedas daun jeruk isi 500g viral tik tok,14999,seblak mitoha,Kab. Bandung,9,4.7
